Cucumber,Produce,41:31.8,41:31.8
Celery,Produce,42:34.6,42:34.6
Kale,Produce,46:19.4,46:19.4
Lemon,Produce,46:56.8,46:56.8
Green Apple,Produce,47:44.1,47:44.1
Ginger,Produce,49:03.4,49:03.4
Tumeric,Produce,49:32.9,49:32.9
Butternut Squash,Produce,25:12.8,25:12.8
White Onion,Produce,26:58.9,26:58.9
Garlic,Produce,28:00.8,28:00.8
Canola Oil,Cooking Oil,28:46.1,28:46.1
Salt,Spice,29:07.9,29:07.9
Cayenne Pepper,Spice,29:53.3,29:53.3
Cashew Milk,Dairy,30:27.0,30:27.0
Olive Oil,Cooking Oil,49:34.1,49:34.1
Red Pepper Flakes,Spice,51:23.6,51:23.6
Parmigiano Reggiano Cheese,Dairy,52:38.1,52:38.1
Bread Crumbs - Gluten Free,Dry Good,53:22.9,53:22.9
Eggs,Eggs,04:16.4,04:16.4
Bread - Gluten Free,Dry Good,05:13.5,05:13.5
Leek,Produce,06:58.7,06:58.7
Asparagus,Produce,07:32.5,07:32.5
Gruyere Cheese,Dairy,08:40.6,08:40.6
Nappa Cabbage,Produce,09:09.1,09:09.1
Ground Bison,Meat,24:39.0,24:39.0
Chili Powder,Spice,26:38.8,26:38.8
Garlic Powder,Spice,27:23.9,27:23.9
Oregano,Spice,28:15.5,28:15.5
Paprika,Spice,28:59.3,28:59.3
Cumin,Spice,29:22.5,29:22.5
Black Pepper,Spice,30:58.3,30:58.3
Casava Tortillas,Dry Good,34:39.2,34:39.2
Roma Tomatoes,Produce,37:47.3,37:47.3
Romaine Lettuce,Produce,38:50.1,38:50.1
Jalapeno,Produce,42:01.4,42:01.4
Red Onion,Produce,46:09.7,46:09.7
Lime,Produce,47:14.9,47:14.9
Cilantro,Produce,48:49.1,48:49.1
Casava Flour,Dry Good,53:09.0,53:09.0
Coconut Milk,Canned Good,54:41.3,54:41.3
Nutritional Yeast,Spice,09:01.1,09:01.1
Dijon Mustard,Dry Good,09:27.0,09:27.0
Curry Powder,Spice,09:51.5,09:51.5
Capers,Dry Good,10:25.4,10:25.4
Tomatillos,Produce,15:27.9,15:27.9
Habanero,Produce,16:17.9,16:17.9
Serrano Chiles,Produce,16:46.7,16:46.7
White Vinegar,Dry Good,17:36.5,17:36.5
Chicken Breast,Meat,19:44.0,20:10.5
Chicken Thighs - Bone in,Meat,31:32.1,31:32.1
Red Bell Pepper,Produce,43:23.8,43:23.8
Mushrooms,Produce,43:49.0,43:49.0
Diced Tomatoes ,Canned Good,45:00.4,45:00.4
Chicken Stock,Dry Good,45:32.4,45:32.4
Basil - Fresh,Produce,46:29.6,46:29.6
Salmon,Seafood,49:56.5,49:56.5
Cashews,Dry Good,35:53.9,35:53.9
Pork Loin,Meat,48:06.8,48:06.8
Sweet Potato,Produce,48:45.3,48:45.3
Fuji Apple,Produce,50:07.4,50:07.4
Pear,Produce,50:46.2,50:46.2
Avocado,Produce,41:00.6,51:18.6
Thyme,Spice,53:21.5,53:21.5
Cinnamon,Spice,53:59.9,53:59.9
Frozen Cranberries,Produce,54:50.1,54:50.1
Apple Cider Vinegar,Cooking Oil,55:33.9,55:33.9
Ground Turkey,Meat,15:30.1,15:30.1
Coconut Oil,Cooking Oil,16:02.2,16:02.2
Carrot,Produce,16:13.8,16:13.8
Scallions,Produce,16:25.9,16:25.9
Butter Lettuce,Produce,16:43.6,16:43.6
Whole Chicken,Meat,45:05.9,45:05.9
Fresh Rosemary,Produce,46:02.8,46:02.8
Rice,Dry Good,00:33.2,00:33.2
Cauliflower,Produce,02:12.8,02:12.8
Yellow Onion,Produce,02:59.2,02:59.2
Shredded Coconut,Dry Good,03:45.9,03:45.9
Grilled Chicken,Meat,07:37.0,07:37.0
